date,day,personnel,personnel*,POW
25/02/2022,2,2800,about,0
26/02/2022,3,4300,about,0
27/02/2022,4,4500,about,0
28/02/2022,5,5300,about,0
01/03/2022,6,5710,about,200
02/03/2022,7,5840,about,200
03/03/2022,8,9000,about,200
04/03/2022,9,9166,about,200
05/03/2022,10,10000,about,216
06/03/2022,11,11000,about,232
07/03/2022,12,11000,more,259
08/03/2022,13,12000,about,284
09/03/2022,14,12000,about,360
10/03/2022,15,12000,more,371
11/03/2022,16,12000,more,389
12/03/2022,17,12000,more,389
13/03/2022,18,12000,more,389
14/03/2022,19,12000,more,389
15/03/2022,20,13500,about,389
16/03/2022,21,13800,about,389
17/03/2022,22,14000,about,405
18/03/2022,23,14200,about,405
19/03/2022,24,14400,about,405
20/03/2022,25,14700,about,405
21/03/2022,26,15000,about,405
22/03/2022,27,15300,about,411
23/03/2022,28,15600,about,412
24/03/2022,29,15800,about,412
25/03/2022,30,16100,about,412
26/03/2022,31,16400,about,412
27/03/2022,32,16600,about,421
28/03/2022,33,17000,about,421
29/03/2022,34,17200,about,430
30/03/2022,35,17300,about,430
31/03/2022,36,17500,about,459
01/04/2022,37,17700,about,459
02/04/2022,38,17700,about,460
03/04/2022,39,18000,about,460
04/04/2022,40,18300,about,460
05/04/2022,41,18500,about,467
06/04/2022,42,18600,about,467
07/04/2022,43,18900,about,467
08/04/2022,44,19000,about,467
09/04/2022,45,19100,about,467
10/04/2022,46,19300,about,467
11/04/2022,47,19500,about,467
12/04/2022,48,19600,about,477
13/04/2022,49,19800,about,477
14/04/2022,50,19900,about,477
15/04/2022,51,20000,about,477
16/04/2022,52,20100,about,477
17/04/2022,53,20300,about,477
18/04/2022,54,20600,about,477
19/04/2022,55,20800,about,489
20/04/2022,56,20900,about,489
21/04/2022,57,21000,about,489
22/04/2022,58,21200,about,489
23/04/2022,59,21600,about,489
24/04/2022,60,21800,about,489
25/04/2022,61,21900,about,489
26/04/2022,62,22100,about,489
27/04/2022,63,22400,about,496
28/04/2022,64,22800,about,496
29/04/2022,65,23000,about,496
30/04/2022,66,23200,about,496
01/05/2022,67,23500,about,496
02/05/2022,68,23800,about,496
03/05/2022,69,24200,about,496
04/05/2022,70,24500,about,496
05/05/2022,71,24700,about,496
06/05/2022,72,24900,about,496
07/05/2022,73,25100,about,496
08/05/2022,74,25500,about,496
09/05/2022,75,25650,about,496
10/05/2022,76,26000,about,498
11/05/2022,77,26350,about,498
12/05/2022,78,26650,about,498
13/05/2022,79,26900,about,498
14/05/2022,80,27200,about,498
15/05/2022,81,27400,about,498
16/05/2022,82,27700,about,498
17/05/2022,83,27900,about,498
18/05/2022,84,28300,about,498
19/05/2022,85,28500,about,498
20/05/2022,86,28700,about,498
21/05/2022,87,28850,about,498
22/05/2022,88,29050,about,498
23/05/2022,89,29200,about,498
24/05/2022,90,29350,about,498
25/05/2022,91,29450,about,498
26/05/2022,92,29600,about,498
27/05/2022,93,29750,about,498
28/05/2022,94,30000,about,498
29/05/2022,95,30150,about,498
30/05/2022,96,30350,about,498
31/05/2022,97,30500,about,498
01/06/2022,98,30700,about,498
02/06/2022,99,30850,about,498
03/06/2022,100,30950,about,498
